usage_date_utc,metric,quantity,unit,feature_id,app_id,project_id,billing_tag,category,dimension_key,source_retrieved_at_utc,usage_hour_utc
2026-09-07,Data IO,0.001,GB,hrn:here:data-transfer::olp-here:io,0KzvdRNvNZM4xMFJDveD,,,DataStorage,"{""app_id"":""0KzvdRNvNZM4xMFJDveD"",""feature_id"":""hrn:here:data-transfer::olp-here:io""}",2026-09-08T12:54:04.230368+00:00,
2026-09-07,Data IO,0.0001,GB,hrn:here:data-transfer::olp-here:io,YQijV3hAPdxySAVtE6ZT,,,DataStorage,"{""app_id"":""YQijV3hAPdxySAVtE6ZT"",""feature_id"":""hrn:here:data-transfer::olp-here:io""}",2026-09-08T12:54:04.230368+00:00,
2026-09-07,hrn:here:data-storage::olp-here:interactive,0.0,GB-Months,hrn:here:data-storage::olp-here:interactive,7ZYLPTnZnUCLZ01iRdt4,hrn:here:authorization::org66234717:project/sveyumvefu6pzc17,"interactivelayer,studio",DataStorage,"{""app_id"":""7ZYLPTnZnUCLZ01iRdt4"",""billing_tag"":""interactivelayer,studio"",""feature_id"":""hrn:here:data-storage::olp-here:interactive"",""project_id"":""hrn:here:authorization::org66234717:project/sveyumvefu6pzc17""}",2026-09-08T12:54:04.230368+00:00,
2026-09-07,hrn:here:data-storage::olp-here:interactive,0.0,GB-Months,hrn:here:data-storage::olp-here:interactive,7ZYLPTnZnUCLZ01iRdt4,hrn:here:authorization::org66234717:project/daaa,,DataStorage,"{""app_id"":""7ZYLPTnZnUCLZ01iRdt4"",""feature_id"":""hrn:here:data-storage::olp-here:interactive"",""project_id"":""hrn:here:authorization::org66234717:project/daaa""}",2026-09-08T12:54:04.230368+00:00,
