usage_date_utc,metric,quantity,unit,feature_id,app_id,project_id,billing_tag,category,dimension_key,source_retrieved_at_utc,usage_hour_utc
2026-08-27,Asset Management Raster Tile Overage,3.0,Transactions,hrn:here:service::olp-here:rendering-raster-tiles-3:base,btsPfRQ1ZyzuyzgjmdMn,,N/A,LocationServices,"{""app_id"":""btsPfRQ1ZyzuyzgjmdMn"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:rendering-raster-tiles-3:base""}",2026-08-28T20:13:13.624962+00:00,
2026-08-27,Data IO,0.0,GB,hrn:here:data-transfer::olp-here:io,YQijV3hAPdxySAVtE6ZT,hrn:here:authorization::org66234717:project/monaltest,,DataStorage,"{""app_id"":""YQijV3hAPdxySAVtE6ZT"",""feature_id"":""hrn:here:data-transfer::olp-here:io"",""project_id"":""hrn:here:authorization::org66234717:project/monaltest""}",2026-08-28T20:13:13.624962+00:00,
2026-08-27,hrn:here:data-storage::olp-here:interactive,0.0,GB-Months,hrn:here:data-storage::olp-here:interactive,7ZYLPTnZnUCLZ01iRdt4,hrn:here:authorization::org66234717:project/sveyumvefu6pzc17,"interactivelayer,studio",DataStorage,"{""app_id"":""7ZYLPTnZnUCLZ01iRdt4"",""billing_tag"":""interactivelayer,studio"",""feature_id"":""hrn:here:data-storage::olp-here:interactive"",""project_id"":""hrn:here:authorization::org66234717:project/sveyumvefu6pzc17""}",2026-08-28T20:13:13.624962+00:00,
2026-08-27,hrn:here:data-storage::olp-here:interactive,0.0,GB-Months,hrn:here:data-storage::olp-here:interactive,7ZYLPTnZnUCLZ01iRdt4,hrn:here:authorization::org66234717:project/daaa,,DataStorage,"{""app_id"":""7ZYLPTnZnUCLZ01iRdt4"",""feature_id"":""hrn:here:data-storage::olp-here:interactive"",""project_id"":""hrn:here:authorization::org66234717:project/daaa""}",2026-08-28T20:13:13.624962+00:00,
