usage_date_utc,metric,quantity,unit,feature_id,app_id,project_id,billing_tag,category,dimension_key,source_retrieved_at_utc,usage_hour_utc
2026-09-08,Autosuggest,13.0,Transactions,hrn:here:service::olp-here:search-autosuggest-7,jIKN7eEIIQId1jJQb7J3,,N/A,LocationServices,"{""app_id"":""jIKN7eEIIQId1jJQb7J3"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:search-autosuggest-7""}",2026-09-09T12:59:40.839037+00:00,
2026-09-08,Data IO,0.030600000000000002,GB,hrn:here:data-transfer::olp-here:io,0KzvdRNvNZM4xMFJDveD,,,DataStorage,"{""app_id"":""0KzvdRNvNZM4xMFJDveD"",""feature_id"":""hrn:here:data-transfer::olp-here:io""}",2026-09-09T12:59:40.839037+00:00,
2026-09-08,Data IO,0.0002,GB,hrn:here:data-transfer::olp-here:io,YQijV3hAPdxySAVtE6ZT,,,DataStorage,"{""app_id"":""YQijV3hAPdxySAVtE6ZT"",""feature_id"":""hrn:here:data-transfer::olp-here:io""}",2026-09-09T12:59:40.839037+00:00,
2026-09-08,Matrix Routing,1136325.0,Transactions,hrn:here:service::olp-here:matrix-routing-8,0KzvdRNvNZM4xMFJDveD,,N/A,LocationServices,"{""app_id"":""0KzvdRNvNZM4xMFJDveD"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:matrix-routing-8""}",2026-09-09T12:59:40.839037+00:00,
2026-09-08,Time Aware Routing,7.0,Transactions,hrn:here:service::olp-here:routing-8:traffic,jIKN7eEIIQId1jJQb7J3,,N/A,LocationServices,"{""app_id"":""jIKN7eEIIQId1jJQb7J3"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:routing-8:traffic""}",2026-09-09T12:59:40.839037+00:00,
2026-09-08,Vector Tile,45.0,Transactions,hrn:here:service::olp-here:rendering-vector-tiles-2,jIKN7eEIIQId1jJQb7J3,,N/A,LocationServices,"{""app_id"":""jIKN7eEIIQId1jJQb7J3"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:rendering-vector-tiles-2""}",2026-09-09T12:59:40.839037+00:00,
2026-09-08,hrn:here:data-storage::olp-here:interactive,0.0,GB-Months,hrn:here:data-storage::olp-here:interactive,7ZYLPTnZnUCLZ01iRdt4,hrn:here:authorization::org66234717:project/sveyumvefu6pzc17,"interactivelayer,studio",DataStorage,"{""app_id"":""7ZYLPTnZnUCLZ01iRdt4"",""billing_tag"":""interactivelayer,studio"",""feature_id"":""hrn:here:data-storage::olp-here:interactive"",""project_id"":""hrn:here:authorization::org66234717:project/sveyumvefu6pzc17""}",2026-09-09T12:59:40.839037+00:00,
2026-09-08,hrn:here:data-storage::olp-here:interactive,0.0,GB-Months,hrn:here:data-storage::olp-here:interactive,7ZYLPTnZnUCLZ01iRdt4,hrn:here:authorization::org66234717:project/daaa,,DataStorage,"{""app_id"":""7ZYLPTnZnUCLZ01iRdt4"",""feature_id"":""hrn:here:data-storage::olp-here:interactive"",""project_id"":""hrn:here:authorization::org66234717:project/daaa""}",2026-09-09T12:59:40.839037+00:00,
2026-09-08,hrn:here:service::olp-here:rendering-vector-tiles-2:meta,4.0,Transactions,hrn:here:service::olp-here:rendering-vector-tiles-2:meta,jIKN7eEIIQId1jJQb7J3,,N/A,LocationServices,"{""app_id"":""jIKN7eEIIQId1jJQb7J3"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:rendering-vector-tiles-2:meta""}",2026-09-09T12:59:40.839037+00:00,
