usage_date_utc,metric,quantity,unit,feature_id,app_id,project_id,billing_tag,category,dimension_key,source_retrieved_at_utc,usage_hour_utc
2026-09-10,Data IO,0.0,GB,hrn:here:data-transfer::olp-here:io,3bljgWftCCjiEQnhnYAm,hrn:here:authorization::org572296711:project/xrt-tgt01,,DataStorage,"{""app_id"":""3bljgWftCCjiEQnhnYAm"",""feature_id"":""hrn:here:data-transfer::olp-here:io"",""project_id"":""hrn:here:authorization::org572296711:project/xrt-tgt01""}",2026-09-11T12:51:20.676536+00:00,
2026-09-10,Data IO,0.0304,GB,hrn:here:data-transfer::olp-here:io,3bljgWftCCjiEQnhnYAm,,,DataStorage,"{""app_id"":""3bljgWftCCjiEQnhnYAm"",""feature_id"":""hrn:here:data-transfer::olp-here:io""}",2026-09-11T12:51:20.676536+00:00,
2026-09-10,Data IO,0.0,GB,hrn:here:data-transfer::olp-here:io,YQijV3hAPdxySAVtE6ZT,,,DataStorage,"{""app_id"":""YQijV3hAPdxySAVtE6ZT"",""feature_id"":""hrn:here:data-transfer::olp-here:io""}",2026-09-11T12:51:20.676536+00:00,
