usage_date_utc,metric,quantity,unit,feature_id,app_id,project_id,billing_tag,category,dimension_key,source_retrieved_at_utc,usage_hour_utc
2026-08-26,Autosuggest,12.0,Transactions,hrn:here:service::olp-here:search-autosuggest-7,jIKN7eEIIQId1jJQb7J3,,N/A,LocationServices,"{""app_id"":""jIKN7eEIIQId1jJQb7J3"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:search-autosuggest-7""}",2026-08-26T15:11:30.020622+00:00,
2026-08-26,Time Aware Routing,5.0,Transactions,hrn:here:service::olp-here:routing-8:traffic,jIKN7eEIIQId1jJQb7J3,,N/A,LocationServices,"{""app_id"":""jIKN7eEIIQId1jJQb7J3"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:routing-8:traffic""}",2026-08-26T15:11:30.020622+00:00,
2026-08-26,Vector Tile,81.0,Transactions,hrn:here:service::olp-here:rendering-vector-tiles-2,jIKN7eEIIQId1jJQb7J3,,N/A,LocationServices,"{""app_id"":""jIKN7eEIIQId1jJQb7J3"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:rendering-vector-tiles-2""}",2026-08-26T15:11:30.020622+00:00,
2026-08-26,hrn:here:data-storage::olp-here:interactive,0.0,GB-Months,hrn:here:data-storage::olp-here:interactive,7ZYLPTnZnUCLZ01iRdt4,hrn:here:authorization::org66234717:project/sveyumvefu6pzc17,"interactivelayer,studio",DataStorage,"{""app_id"":""7ZYLPTnZnUCLZ01iRdt4"",""billing_tag"":""interactivelayer,studio"",""feature_id"":""hrn:here:data-storage::olp-here:interactive"",""project_id"":""hrn:here:authorization::org66234717:project/sveyumvefu6pzc17""}",2026-08-26T15:11:30.020622+00:00,
2026-08-26,hrn:here:data-storage::olp-here:interactive,0.0,GB-Months,hrn:here:data-storage::olp-here:interactive,7ZYLPTnZnUCLZ01iRdt4,hrn:here:authorization::org66234717:project/daaa,,DataStorage,"{""app_id"":""7ZYLPTnZnUCLZ01iRdt4"",""feature_id"":""hrn:here:data-storage::olp-here:interactive"",""project_id"":""hrn:here:authorization::org66234717:project/daaa""}",2026-08-26T15:11:30.020622+00:00,
2026-08-26,hrn:here:service::olp-here:rendering-vector-tiles-2:meta,3.0,Transactions,hrn:here:service::olp-here:rendering-vector-tiles-2:meta,jIKN7eEIIQId1jJQb7J3,,N/A,LocationServices,"{""app_id"":""jIKN7eEIIQId1jJQb7J3"",""billing_tag"":""N/A"",""feature_id"":""hrn:here:service::olp-here:rendering-vector-tiles-2:meta""}",2026-08-26T15:11:30.020622+00:00,
